epoch,batch,iter,loss,prec1,prec5,lr
2,49,154,0.472860456,87.5,100,0.04
2,50,155,0.051223315,100,100,0.04
2,51,156,0.042265374,100,100,0.04
2,52,157,0.011148302,100,100,0.04
2,53,158,0.08331608,100,100,0.04
2,54,159,0.226911455,87.5,100,0.04
2,55,160,0.048577432,100,100,0.04
2,56,161,0.15432775,90.625,100,0.04
2,57,162,0.399374098,87.5,100,0.04
2,58,163,0.030252105,100,100,0.04
2,59,164,0.095369138,100,100,0.04
2,60,165,0.029241621,100,100,0.04
2,61,166,0.038850948,100,100,0.04
2,62,167,0.027455904,100,100,0.04
2,63,168,0.254654258,87.5,100,0.04
2,64,169,0.23244676,87.5,100,0.04
2,65,170,0.021046653,100,100,0.04
2,66,171,0.203423068,87.5,100,0.04
2,67,172,0.185112134,87.5,100,0.04
2,68,173,0.31580326,87.5,100,0.04
2,69,174,0.032633103,100,100,0.04
2,70,175,0.24123013,87.5,100,0.04
2,71,176,0.204546899,93.75,100,0.04
2,72,177,0.670550883,75,100,0.04
2,73,178,0.029378735,84.375,100,0.04
2,74,179,0.033466965,100,100,0.04
2,75,180,0.036669027,100,100,0.04
2,76,181,0.499239415,84.375,100,0.04
2,77,182,0.090648174,100,100,0.04
2,78,183,0.056793578,84.375,100,0.04
2,79,184,0.041801803,100,100,0.04
2,80,185,0.102897987,100,100,0.04
2,81,186,0.134855837,96.875,100,0.04
2,82,187,0.034024883,100,100,0.04
2,83,188,0.044723853,100,100,0.04
2,84,189,0.038415179,100,100,0.04
2,85,190,0.010403153,84.375,100,0.04
2,86,191,0.057095017,100,100,0.04
2,87,192,0.025955124,84.375,100,0.04
2,88,193,0.025174765,100,100,0.04
2,89,194,0.016267197,100,100,0.04
2,90,195,0.018281713,100,100,0.04
2,91,196,0.528140128,87.5,100,0.04
2,92,197,0.013745552,100,100,0.04
2,93,198,0.031121071,100,100,0.04
2,94,199,0.008650913,100,100,0.04
2,95,200,0.42547217,81.25,100,0.04
2,96,201,0.016664147,100,100,0.04
2,97,202,0.105815791,96.875,100,0.04
2,98,203,0.219391927,96.875,100,0.04
2,99,204,0.067557357,96.875,100,0.04
2,100,205,0.019090272,100,100,0.04
2,101,206,0.035431869,100,100,0.04
2,102,207,0.009366948,100,100,0.04
2,103,208,0.173607156,96.875,100,0.04
2,104,209,0.043317452,100,100,0.04
2,105,210,0.014646693,100,100,0.04
3,1,211,0.050684381,100,100,0.04
3,2,212,0.539168537,84.375,100,0.04
3,3,213,0.024797093,100,100,0.04
3,4,214,0.034250878,84.375,100,0.04
3,5,215,0.016120126,100,100,0.04
3,6,216,0.480791867,84.375,100,0.04
3,7,217,0.023358043,100,100,0.04
3,8,218,0.136967614,96.875,100,0.04
3,9,219,0.317434162,87.5,100,0.04
3,10,220,0.030049441,100,100,0.04
3,11,221,0.077940889,100,100,0.04
3,12,222,0.164269492,96.875,100,0.04
3,13,223,0.12332806,93.75,100,0.04
3,14,224,0.023718666,100,100,0.04
3,15,225,0.088001154,93.75,100,0.04
3,16,226,0.02020889,100,100,0.04
3,17,227,0.06546358,87.5,100,0.04
3,18,228,0.056252301,100,100,0.04
3,19,229,0.121903986,96.875,100,0.04
3,20,230,0.18688558,93.75,100,0.04
3,21,231,0.015831014,100,100,0.04
3,22,232,0.010369461,100,100,0.04
3,23,233,0.464485198,87.5,100,0.04
3,24,234,0.247511312,87.5,100,0.04
3,25,235,0.019057315,100,100,0.04
3,26,236,0.127070472,96.875,100,0.04
3,27,237,0.009603227,100,100,0.04
3,28,238,0.014345495,100,100,0.04
3,29,239,0.008524096,100,100,0.04
3,30,240,0.034020886,100,100,0.04
3,31,241,0.013414875,100,100,0.04
3,32,242,0.014600712,100,100,0.04
3,33,243,0.163743734,96.875,100,0.04
3,34,244,0.011527343,100,100,0.04
3,35,245,0.014423376,100,100,0.04
3,36,246,0.141963273,96.875,100,0.04
3,37,247,0.01303833,100,100,0.04
3,38,248,0.018745106,87.5,100,0.04
3,39,249,0.007204198,100,100,0.04
3,40,250,0.253004313,87.5,100,0.04
3,41,251,0.016258944,100,100,0.04
3,42,252,0.024228662,100,100,0.04
3,43,253,0.074780174,87.5,100,0.04
3,44,254,0.318270892,90.625,100,0.04
3,45,255,0.020690136,100,100,0.04
3,46,256,0.010317,100,100,0.04
3,47,257,0.135888562,96.875,100,0.04
3,48,258,0.833644569,87.5,100,0.04
3,49,259,0.036879629,100,100,0.04
3,50,260,0.021372059,100,100,0.04
3,51,261,0.050680794,100,100,0.04
3,52,262,0.105596654,96.875,100,0.04
3,53,263,0.06814985,96.875,100,0.04
3,54,264,0.102700166,87.5,100,0.04
3,55,265,0.196164593,96.875,100,0.04
3,56,266,0.028152607,100,100,0.04
3,57,267,0.020294096,100,100,0.04
3,58,268,0.583917558,84.375,100,0.04
3,59,269,0.025658164,100,100,0.04
3,60,270,0.150177717,96.875,100,0.04
3,61,271,0.045892298,100,100,0.04
3,62,272,0.026993658,100,100,0.04
3,63,273,0.018174708,100,100,0.04
3,64,274,0.583635986,84.375,100,0.04
3,65,275,0.159138098,87.5,100,0.04
